Region,is24Hours,carParkCount,hasCarparkCost,invHourLim,hasTouristAttraction,currentType,numberOfConnectors,hasChargingCost
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Canterbury,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,TRUE,0,FALSE,Mixed,3,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Otago,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Southland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Northland,TRUE,1,TRUE,0,FALSE,DC,4,TRUE
Northland,TRUE,1,FALSE,0,FALSE,DC,4,FALSE
Northland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
